language,top1,top5,mrr,N,shifts_df
Standard Zhuang,0.8,0.8,0.8000826446280993,5,"            source_concept  ... correct_top1
0                      son  ...         True
1                      boy  ...         True
2                    sugar  ...         True
3  child (son or daughter)  ...         True
4            little, small  ...        False

[5 rows x 4 columns]"
Panare,0.8,0.8,0.8001095890410959,5,"    source_concept target_concept predicted_top1  correct_top1
0           stupid         insane         insane          True
1          stomach        abdomen        abdomen          True
2          eyebrow        eyelash        eyelash          True
3           animal         insect            dog         False
4  to hug, embrace        to kiss        to kiss          True"
Seychellois Creole,0.6363636363636364,0.7272727272727273,0.6547178550158753,11,"             source_concept  ... correct_top1
0                      tree  ...        False
1                    stupid  ...         True
2                man (male)  ...        False
3                    silver  ...        False
4   child (son or daughter)  ...         True
5   child (son or daughter)  ...         True
6   child (son or daughter)  ...         True
7   child (son or daughter)  ...         True
8                    animal  ...        False
9           to hug, embrace  ...         True
10          to hug, embrace  ...         True

[11 rows x 4 columns]"
Khwarshi,0.6,0.6,0.6466666666666666,5,"            source_concept  ... correct_top1
0                     worm  ...         True
1                   eyelid  ...        False
2  child (son or daughter)  ...         True
3         glass (material)  ...         True
4                  to read  ...        False

[5 rows x 4 columns]"
Tsez,0.6,0.6,0.6458333333333333,5,"            source_concept  ... correct_top1
0               to be born  ...        False
1                  eyebrow  ...         True
2  child (son or daughter)  ...         True
3         glass (material)  ...         True
4                  to read  ...        False

[5 rows x 4 columns]"
Gawwada (Ale),0.5454545454545454,0.6363636363636364,0.575530691911481,11,"             source_concept  ... correct_top1
0                      tree  ...        False
1                    eyelid  ...        False
2                   eyebrow  ...         True
3                  tin (n.)  ...         True
4   child (son or daughter)  ...         True
5                      iron  ...        False
6                  shoulder  ...        False
7                      moon  ...        False
8          glass (material)  ...         True
9                     smoke  ...         True
10  shoulder-blade, scapula  ...         True

[11 rows x 4 columns]"
Doromu-Koki,0.5,0.5,0.5072991777356104,6,"        source_concept target_concept predicted_top1  correct_top1
0                  son          child          child          True
1                  sun            day      suntanned         False
2                  boy          child          child          True
3  to hear / to listen        to obey      to listen         False
4  to hear / to listen        to obey      to listen         False
5           grandchild    grandparent    grandparent          True"
Inari Sami,0.5,0.5,0.521712962962963,6,"     source_concept target_concept predicted_top1  correct_top1
0  glass (material)         window         mirror         False
1          new year        January        January          True
2               sun            day      suntanned         False
3        to be born      to happen      to become         False
4            autumn      September      September          True
5             other  second (num.)  second (num.)          True"
Bolyu (Paliu),0.5,0.5,0.5006490373961454,6,"  source_concept target_concept     predicted_top1  correct_top1
0           worm         insect             insect          True
1        eyebrow        eyelash            eyelash          True
2        to kiss        to suck  to feel affection         False
3     to squeeze        to milk            to milk          True
4      mist, fog          cloud        &lt;hat&gt;         False
5      mist, fog          cloud        &lt;hat&gt;         False"
Zhuang-Longzhou (Central Tai),0.5,0.5,0.5072404778910103,6,"     source_concept target_concept     predicted_top1  correct_top1
0               sun            day          suntanned         False
1           to kiss        to suck  to feel affection         False
2        to squeeze        to milk            to milk          True
3        to squeeze        to milk            to milk          True
4         nest (n.)            bed       brood, hatch         False
5  glass (material)         mirror             mirror          True"
