language,top1,top5,mrr,N,shifts_df
Masai,0.8,0.8,0.8003795066413663,5,"             source_concept target_concept predicted_top1  correct_top1
0                to respect        to obey        to obey          True
1                       sun            day            day          True
2                       sun            day            day          True
3       to hear / to listen        to obey       to speak         False
4  to trust / to believe in        to obey        to obey          True"
Khwarshi,0.6,1.0,0.7666666666666667,5,"            source_concept        target_concept predicted_top1  correct_top1
0                     worm                insect         insect          True
1                   eyelid               eyelash        eyelash          True
2  child (son or daughter)  child (young person)          child         False
3         glass (material)                mirror         mirror          True
4                  to read       to learn, study        to obey         False"
Iraqw,0.6,0.8,0.7064516129032258,5,"            source_concept        target_concept predicted_top1  correct_top1
0       nail (metal spike)     screw, screw-bolt          metal         False
1                   eyelid               eyelash        eyelash          True
2                  eyebrow               eyelash        eyelash          True
3                 to plant         plant (biol.)  plant (biol.)          True
4  child (son or daughter)  child (young person)          child         False"
Nogai,0.6,0.8,0.6668218257046806,5,"     source_concept       target_concept predicted_top1  correct_top1
0               sun                  day            day          True
1            middle        middle finger  middle finger          True
2  to grow (plants)        plant (biol.)  plant (biol.)          True
3           to read      to learn, study        to obey         False
4              lung  resentment, offense        abdomen         False"
Motu,0.6,0.6,0.6115565454095521,5,"        source_concept  target_concept     predicted_top1  correct_top1
0                  sun             day                day          True
1                  sun             day                day          True
2            butterfly  butterfly fish   butterfly stroke         False
3                 iron           metal              metal          True
4  to calculate, count         to read  root (arithmetic)         False"
Doromu-Koki,0.5,0.6666666666666666,0.5339658444022771,6,"        source_concept target_concept predicted_top1  correct_top1
0                  son          child          child          True
1                  sun            day            day          True
2                  boy          child          child          True
3  to hear / to listen        to obey       to speak         False
4  to hear / to listen        to obey       to speak         False
5           grandchild    grandparent       ancestor         False"
Southern Min (Min Nan),0.5,0.6,0.5251802619835747,10,"  source_concept      target_concept       predicted_top1  correct_top1
0           pear           pineapple            pineapple          True
1           pear           pineapple            pineapple          True
2          empty                zero                 lazy         False
3           nine           September             tomorrow         False
4         middle       middle finger        middle finger          True
5         middle       middle finger        middle finger          True
6         middle       middle finger        middle finger          True
7          tiger       middle finger  otter (Lutra lutra)         False
8          blind  caecum (blind gut)              eyelash         False
9         shield                coin               mirror         False"
Shor,0.5,0.5,0.5003591949245084,8,"                     source_concept  ... correct_top1
0                               sun  ...         True
1                            middle  ...         True
2  hazel grouse (Tetrastes bonasia)  ...        False
3                              iron  ...         True
4                              iron  ...         True
5                             sharp  ...        False
6                          nameless  ...        False
7                              lung  ...        False

[8 rows x 4 columns]"
Kaingang,0.4444444444444444,0.5555555555555556,0.47344282188905473,9,"    source_concept  target_concept              predicted_top1  correct_top1
0        fireplace            fire                        fire          True
1       many, much       difficult                     several         False
2              sun             day                         day          True
3            tooth            beak                       mouth         False
4          stomach         abdomen                     abdomen          True
5         to plant   plant (biol.)               plant (biol.)          True
6            heart            lung                blood vessel         False
7           insect  mosquito, gnat  mole cricket (Gryllotalpa)         False
8  to be surprised    to be afraid        location of emotions         False"
Southern Altai,0.4444444444444444,0.4444444444444444,0.4632709313146952,9,"  source_concept        target_concept            predicted_top1  correct_top1
0            sun                   day                       day          True
1         mirror         mirror armour          mirror (website)         False
2         middle         middle finger             middle finger          True
3         middle         middle finger             middle finger          True
4         middle         middle finger             middle finger          True
5    long (size)         middle finger            unit of length         False
6          liver  location of emotions                   abdomen         False
7       nameless           ring finger  term of address to a man         False
8       nameless           ring finger  term of address to a man         False"
Karakalpak,0.42857142857142855,0.5714285714285714,0.4575747400510814,7,"      source_concept   target_concept            predicted_top1  correct_top1
0                sun              day                       day          True
1     to get, obtain  can, to be able           to learn, study         False
2             middle    middle finger             middle finger          True
3             middle    middle finger             middle finger          True
4    to grasp, seize   to get, obtain                     mouth         False
5           nameless      ring finger  term of address to a man         False
6  to see/to look at          to like      to watch, look after         False"
"Malto (Sauria Paharia, references do not distinguish from Kumarbhag Paharia)",0.42857142857142855,0.42857142857142855,0.44869471475866607,7,"        source_concept  ... correct_top1
0                  boy  ...        False
1                owner  ...        False
2               mother  ...        False
3      younger brother  ...        False
4           man (male)  ...         True
5                woman  ...         True
6  mistress of a house  ...         True

[7 rows x 4 columns]"
Andi,0.4,0.8,0.5848484848484848,5,"     source_concept   target_concept    predicted_top1  correct_top1
0        mute, dumb           insane  talkative person         False
1             bread             food            potato         False
2            eyelid          eyelash           eyelash          True
3  glass (material)           mirror            mirror          True
4           to read  to learn, study           to obey         False"
Standard Zhuang,0.4,0.8,0.5500826446280992,5,"            source_concept        target_concept  predicted_top1  correct_top1
0                      son                 child           child          True
1                      boy                 child           child          True
2                    sugar         sweets, candy          potato         False
3  child (son or daughter)  child (young person)           child         False
4            little, small                 child  unit of length         False"
Panare,0.4,0.8,0.6001095890410959,5,"    source_concept target_concept        predicted_top1  correct_top1
0           stupid         insane                  fool         False
1          stomach        abdomen               abdomen          True
2          eyebrow        eyelash               eyelash          True
3           animal         insect         male (animal)         False
4  to hug, embrace        to kiss  location of emotions         False"
Tsez,0.4,0.8,0.5761904761904761,5,"            source_concept  ... correct_top1
0               to be born  ...        False
1                  eyebrow  ...         True
2  child (son or daughter)  ...        False
3         glass (material)  ...         True
4                  to read  ...        False

[5 rows x 4 columns]"
Fijian,0.4,0.6,0.450470705911772,5,"        source_concept  target_concept predicted_top1  correct_top1
0            lightning     electricity          cloud         False
1                  sun             day            day          True
2                liver  spleen (anat.)        abdomen         False
3                 iron           metal          metal          True
4  to hear / to listen         to obey       to speak         False"
Kyaka,0.4,0.6,0.45185967264398635,5,"  source_concept    target_concept predicted_top1  correct_top1
0           tree              fire         forest         False
1            sun               day            day          True
2            boy             child          child          True
3           meat  pig (Sus scrofa)         potato         False
4     grandchild       grandparent       ancestor         False"
Old Uighur,0.4,0.6,0.46747749414231105,5,"        source_concept target_concept            predicted_top1  correct_top1
0                  sun            day                       day          True
1               middle  middle finger             middle finger          True
2  to calculate, count        to tell         root (arithmetic)         False
3             nameless    ring finger  term of address to a man         False
4              morning       tomorrow                       day         False"
Karachay-Balkar,0.4,0.5,0.4502439235123627,10,"     source_concept  ... correct_top1
0               sun  ...         True
1            father  ...        False
2            father  ...        False
3            middle  ...         True
4            middle  ...         True
5  to grow (plants)  ...         True
6            throat  ...        False
7          nameless  ...        False
8               arm  ...        False
9            father  ...        False

[10 rows x 4 columns]"
Francisco León Zoque,0.4,0.4,0.4006002148063853,5,"        source_concept        target_concept predicted_top1  correct_top1
0           to respect               to obey        to obey          True
1              stomach                 heart        abdomen         False
2                  sun                   day            day          True
3  to hear / to listen               to obey       to speak         False
4              stomach  location of emotions        abdomen         False"
Hakka Chinese,0.4,0.4,0.4002376738442991,5,"  source_concept      target_concept predicted_top1  correct_top1
0           pear           pineapple      pineapple          True
1           pear           pineapple      pineapple          True
2           nine           September       tomorrow         False
3          blind  caecum (blind gut)        eyelash         False
4         shield                coin         mirror         False"
Nyangumarta,0.4,0.4,0.41131868765496166,5,"  source_concept target_concept predicted_top1  correct_top1
0           lung          liver        abdomen         False
1            sun      heat (n.)            day         False
2            sun      heat (n.)            day         False
3            sun            day            day          True
4            sun            day            day          True"
Nung (Tai),0.4,0.4,0.4007750710956876,5,"     source_concept target_concept        predicted_top1  correct_top1
0              worm         insect                insect          True
1            father            big                 child         False
2              horn         corner                 brass         False
3           to kiss        to suck  location of emotions         False
4  glass (material)         mirror                mirror          True"
Uighur,0.4,0.4,0.40752334968362086,15,"         source_concept  ... correct_top1
0                   sun  ...         True
1                middle  ...         True
2                middle  ...         True
3                middle  ...         True
4           long (size)  ...        False
5      to grow (plants)  ...         True
6               thunder  ...        False
7    squirrel (Sciurus)  ...        False
8                 liver  ...        False
9                throat  ...        False
10  pelican (Pelecanus)  ...        False
11             nameless  ...        False
12             nameless  ...        False
13             nameless  ...        False
14                 frog  ...         True

[15 rows x 4 columns]"
Sursurunga,0.4,0.4,0.40061356164429185,5,"        source_concept        target_concept predicted_top1  correct_top1
0                  sun                   day            day          True
1              stomach               abdomen        abdomen          True
2                liver  location of emotions        abdomen         False
3  to hear / to listen               to obey       to speak         False
4              stomach  location of emotions        abdomen         False"
Cocopa,0.4,0.4,0.4018303382585072,5,"   source_concept       target_concept predicted_top1  correct_top1
0             sun                  day            day          True
1     earth, soil        country, land  country, land          True
2           earth                 year            day         False
3  land (vs. sea)  floor (vs. ceiling)  country, land         False
4             sun         watch, clock            day         False"
Hlai (Baoting),0.4,0.4,0.40079791421975075,5,"     source_concept target_concept        predicted_top1  correct_top1
0              horn         corner                 brass         False
1           eyebrow        eyelash               eyelash          True
2             tooth    grain, seed                 mouth         False
3           to kiss        to suck  location of emotions         False
4  glass (material)         mirror                mirror          True"
Kumyk,0.38461538461538464,0.5384615384615384,0.4575849168259404,13,"         source_concept  ... correct_top1
0                 bread  ...        False
1                 voice  ...        False
2               evening  ...        False
3     root (of a plant)  ...        False
4                   sun  ...         True
5                eyelid  ...         True
6      to smear, anoint  ...        False
7                middle  ...         True
8      to grow (plants)  ...         True
9   to hear / to listen  ...        False
10                blind  ...        False
11     glass (material)  ...         True
12              to read  ...        False

[13 rows x 4 columns]"
Hawaiian,0.375,0.5416666666666666,0.4406149868671707,24,"                    source_concept  ... correct_top1
0          child (son or daughter)  ...        False
1                        lightning  ...        False
2                              son  ...         True
3                             iron  ...        False
4                              sun  ...         True
5                            liver  ...        False
6                              red  ...        False
7                              boy  ...         True
8                           eyelid  ...         True
9                           eyelid  ...         True
10                        to plant  ...         True
11                     grain, seed  ...        False
12                        tin (n.)  ...        False
13                to grow (plants)  ...         True
14         child (son or daughter)  ...        False
15                            iron  ...         True
16                      to squeeze  ...        False
17                   female breast  ...        False
18             to hear / to listen  ...        False
19                 to be surprised  ...        False
20  sweet potato (Ipomoea batatas)  ...         True
21                quiet (vs. loud)  ...        False
22                            moon  ...        False
23                           fruit  ...        False

[24 rows x 4 columns]"
Rutul,0.375,0.5,0.40672876373249833,8,"        source_concept  ... correct_top1
0         blood vessel  ...        False
1                 worm  ...         True
2    to see/to look at  ...        False
3               eyelid  ...         True
4              stomach  ...         True
5  to hear / to listen  ...        False
6          spot, stain  ...        False
7            mist, fog  ...        False

[8 rows x 4 columns]"
Assamese,0.375,0.5,0.4169480454986113,8,"            source_concept  ... correct_top1
0                      son  ...         True
1                      boy  ...         True
2                    liver  ...        False
3                   middle  ...         True
4  &lt;foreign country&gt;  ...        False
5                    liver  ...        False
6                jackfruit  ...        False
7                  to read  ...        False

[8 rows x 4 columns]"
Gawwada (Ale),0.36363636363636365,0.7272727272727273,0.49195412355230383,11,"             source_concept  ... correct_top1
0                      tree  ...        False
1                    eyelid  ...         True
2                   eyebrow  ...         True
3                  tin (n.)  ...        False
4   child (son or daughter)  ...        False
5                      iron  ...         True
6                  shoulder  ...        False
7                      moon  ...        False
8          glass (material)  ...         True
9                     smoke  ...        False
10  shoulder-blade, scapula  ...        False

[11 rows x 4 columns]"
Dari,0.3333333333333333,0.6666666666666666,0.43074602721728206,6,"  source_concept  ... correct_top1
0            son  ...         True
1         sister  ...        False
2            boy  ...         True
3        to sing  ...        False
4           wing  ...        False
5        to read  ...        False

[6 rows x 4 columns]"
Zhuang-Longzhou (Central Tai),0.3333333333333333,0.6666666666666666,0.5005738112243437,6,"     source_concept target_concept        predicted_top1  correct_top1
0               sun            day                   day          True
1           to kiss        to suck  location of emotions         False
2        to squeeze        to milk                 mouth         False
3        to squeeze        to milk                 mouth         False
4         nest (n.)            bed                   egg         False
5  glass (material)         mirror                mirror          True"
Mikir,0.3333333333333333,0.5,0.38348759937552773,6,"  source_concept target_concept predicted_top1  correct_top1
0           body  human, person            day         False
1           food           meat         potato         False
2            sun            day            day          True
3            boy          child          child          True
4          house           womb            day         False
5      nest (n.)            bed            egg         False"
Tai Lue,0.3333333333333333,0.5,0.4266773298424829,6,"      source_concept      target_concept predicted_top1  correct_top1
0               iron  nail (metal spike)          metal         False
1                sun                 day            day          True
2            eyebrow             eyelash        eyelash          True
3               tail               comet        buttock         False
4         to squeeze             to milk          mouth         False
5  bowels, intestine             sausage        abdomen         False"
Bolyu (Paliu),0.3333333333333333,0.5,0.4173157040628121,6,"  source_concept target_concept        predicted_top1  correct_top1
0           worm         insect                insect          True
1        eyebrow        eyelash               eyelash          True
2        to kiss        to suck  location of emotions         False
3     to squeeze        to milk                 mouth         False
4      mist, fog          cloud         to understand         False
5      mist, fog          cloud         to understand         False"
Turkmen,0.3333333333333333,0.4444444444444444,0.3764351487691519,18,"                   source_concept  ... correct_top1
0                 top of the head  ...        False
1                            face  ...        False
2                             sun  ...         True
3                          father  ...        False
4                           elbow  ...        False
5               flank (body part)  ...        False
6                          middle  ...         True
7                          middle  ...         True
8                          middle  ...         True
9                to grow (plants)  ...         True
10                   to smell bad  ...        False
11                        healthy  ...        False
12                  sweet (taste)  ...        False
13                       straight  ...         True
14                paint, dye (n.)  ...        False
15                           nose  ...        False
16  to drive, to force to move on  ...        False
17            to calculate, count  ...        False

[18 rows x 4 columns]"
